Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-08,2016,1,8,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,01,2016-01,32.3,33.6,31.86,31.94,1327600.0,30.77,-0.010532686522826906,34.01857142857143,35.06420000000001
2016-01-11,2016,1,11,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,02,2016-02,32.33,33.01,31.53,32.22,1222300.0,31.04,0.008766371909034731,33.68785714285714,35.01100000000001
2016-01-12,2016,1,12,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,02,2016-02,32.61,32.62,31.35,32.03,1109200.0,30.86,-0.005896965428226153,33.31285714285714,34.958400000000005
2016-01-13,2016,1,13,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,02,2016-02,32.02,32.24,29.41,29.76,1385800.0,28.67,-0.07087099358796078,32.78428571428571,34.863200000000006
2016-01-14,2016,1,14,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,02,2016-02,30.25,31.63,29.68,31.21,1456100.0,30.07,0.04872291063374412,32.36285714285714,34.784200000000006
2016-01-15,2016,1,15,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,02,2016-02,30.28,31.96,30.04,31.67,2047200.0,30.51,0.014738972077622758,31.985714285714277,34.69740000000001
2016-01-19,2016,1,19,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,03,2016-03,32.05,32.53,30.19,30.65,1622700.0,29.53,-0.03220710960412054,31.542142857142853,34.594800000000006
2016-01-20,2016,1,20,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,03,2016-03,30.19,31.37,28.4,30.7,1827100.0,29.58,0.0016312655286538913,31.080714285714276,34.4734
2016-01-21,2016,1,21,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,03,2016-03,30.69,31.25,29.73,30.89,991800.0,29.76,0.006189061773777205,30.695714285714278,34.335
2016-01-22,2016,1,22,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,03,2016-03,31.45,31.91,30.88,31.58,927400.0,30.43,0.0223373542309786,30.437857142857133,34.256400000000006
2016-01-25,2016,1,25,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,04,2016-04,32.58,32.66,31.49,31.62,958500.0,30.47,0.0012666060255368539,30.356428571428562,34.162800000000004
2016-01-26,2016,1,26,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,04,2016-04,31.67,32.4,31.35,32.35,995200.0,31.17,0.023086475209062707,30.378571428571423,34.09
2016-01-27,2016,1,27,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,04,2016-04,34.91,37.59,34.19,36.04,5611500.0,34.72,0.11406508338077281,30.619999999999994,34.094800000000006
2016-01-28,2016,1,28,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,04,2016-04,37.0,37.0,33.88,34.8,1857300.0,33.53,-0.03440626567145655,30.793571428571422,34.086200000000005
2016-01-29,2016,1,29,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x7fd7783006d0>>,04,2016-04,34.66,35.29,33.59,35.21,1830000.0,33.93,0.011781694947186727,31.019285714285708,34.08780000000001
